userid,user,pageid,revid,parentid,ns,title,timestamp,top,comment,size,new,minor,texthidden,suppressed,commenthidden
717938,Braveheidi,74488,212948403,212948164,0,Ordre Teutonique,2024-03-01T18:21:03Z,,/* Bibliographie */ mise en forme,51581,,,,,
717938,Braveheidi,74488,212948164,212948130,0,Ordre Teutonique,2024-03-01T18:11:54Z,,"/* Bibliographie */ c'est extrêmement désuet, cité nulle part et de plus pas centré sur l'ordre teutonique",51385,,,,,
717938,Braveheidi,74488,212948130,212948083,0,Ordre Teutonique,2024-03-01T18:10:43Z,,/* Bibliographie */ l'ouvrage est plutôt vieux et n'est cité nulle part ds l'article ; remettre si c'est un ouvrage important dans l'historiographie francophone de l'ordre teutonique,51533,,,,,
717938,Braveheidi,74488,212948083,212948045,0,Ordre Teutonique,2024-03-01T18:08:59Z,,/* Bibliographie */ l'ouvrage est très vieux et n'est cité nulle part ds l'article ; remettre si c'est un ouvrage important dans l'historiographie francophone de l'ordre teutonique,51641,,,,,
717938,Braveheidi,74488,212948045,212947934,0,Ordre Teutonique,2024-03-01T18:07:45Z,,/* Bibliographie */ l'ouvrage est plutôt vieux et n'est cité nulle part ds l'article ; remettre si c'est un ouvrage important dans l'historiographie francophone de l'ordre teutonique,51735,,,,,
717938,Braveheidi,74488,212947934,212947492,0,Ordre Teutonique,2024-03-01T18:04:06Z,,/* La fondation en Terre sainte : un ordre hospitalier (1190-1198) */,51848,,,,,
717938,Braveheidi,74488,212947492,212947270,0,Ordre Teutonique,2024-03-01T17:50:28Z,,/* Bibliographie */ ajout ouvrage,51823,,,,,
717938,Braveheidi,74488,212947270,212897956,0,Ordre Teutonique,2024-03-01T17:44:21Z,,"/* Les débuts */ ajout contenu, source suit",51552,,,,,
717938,Braveheidi,10918884,212946791,212934125,103,Discussion Projet:Transidentité,2024-03-01T17:32:18Z,,/* Catégorie:Personnalité française impliquée par la transidentité */ Réponse,7378,,,,,
717938,Braveheidi,74488,212897956,212897802,0,Ordre Teutonique,2024-02-29T02:18:57Z,,"/* La fondation en Terre sainte : un ordre hospitalier (1190-1198) */ réécriture ; ils fondent un hôpital de campagne, pas ""L'ordre Teutonique"".",51239,,,,,
717938,Braveheidi,74488,212897802,212897775,0,Ordre Teutonique,2024-02-29T02:09:34Z,,/* Les débuts */ je trouve rien en ce sens,51164,,,,,
717938,Braveheidi,74488,212897775,212891557,0,Ordre Teutonique,2024-02-29T02:08:14Z,,/* La fondation en Terre sainte : un ordre hospitalier (1190-1198) */ ajout contenu,51316,,,,,
717938,Braveheidi,181908,212896943,212896884,0,Ordre militaire,2024-02-29T01:00:20Z,,"/* Prusse orientale */ je me suis plantée/c'est cette section qui est non neutre, pas tout l'article (en tout cas c'est la neutralité de cette section que je conteste)",40498,,,,,
717938,Braveheidi,181908,212896884,212896741,0,Ordre militaire,2024-02-29T00:55:48Z,,/* Origine des ordres militaires */ TI non sourcé,40522,,,,,
717938,Braveheidi,16167850,212896866,212896748,1,Discussion:Ordre militaire/Neutralité,2024-02-29T00:54:18Z,,/* Proposé par : Braveheidi (discuter) 29 février 2024 à 01:46 (CET) */,1731,,,,,
717938,Braveheidi,16167850,212896748,0,1,Discussion:Ordre militaire/Neutralité,2024-02-29T00:46:56Z,,Nouvelle page : <!-- Sauvegarder la page pour l'initialiser puis suivre les instructions --> <!-- N'oubliez pas d'ajouter le lien vers cette page dans la page principale des articles non neutres --> {{subst:Initialiser LANN|{{subst:BASEPAGENAME}}|~~~~}},935,,,,,
